ip,city,country,region
107.158.15.67,Round Rock,US,Texas
50.84.26.206,Las Quintas Fronterizas Colonia,US,Texas
162.205.226.39,San Antonio,US,Texas
66.25.145.212,San Antonio,US,Texas
75.28.18.14,McKinney,US,Texas
99.43.138.137,San Antonio,US,Texas
172.56.7.234,Dallas,US,Texas
136.50.24.253,San Antonio,US,Texas
107.77.169.33,Houston,US,Texas
70.117.3.180,San Antonio,US,Texas
206.217.207.23,Dallas,US,Texas
107.77.169.49,Houston,US,Texas
66.25.69.211,San Antonio,US,Texas
104.53.212.101,San Antonio,US,Texas
72.181.115.96,San Antonio,US,Texas
107.77.189.38,Houston,US,Texas
107.77.169.58,Houston,US,Texas
174.197.2.198,Austin,US,Texas
76.185.67.51,Arlington,US,Texas
66.68.101.2,San Antonio,US,Texas
107.77.169.47,Houston,US,Texas
107.77.189.51,Houston,US,Texas
89.187.175.150,Dallas,US,Texas
67.11.226.248,San Antonio,US,Texas
71.136.251.73,San Antonio,US,Texas
107.77.169.42,Houston,US,Texas
67.11.222.229,San Antonio,US,Texas
65.220.10.3,Philadelphia,US,Pennsylvania
37.60.189.18,Paris,FR,Île-de-France
45.20.117.182,San Antonio,US,Texas
131.44.121.129,San Antonio,US,Texas
217.167.133.44,Paris,FR,Île-de-France
66.25.169.158,San Antonio,US,Texas
136.62.157.140,Austin,US,Texas
131.44.121.128,San Antonio,US,Texas
137.254.7.178,Austin,US,Texas
45.31.212.143,San Antonio,US,Texas
137.254.7.165,Austin,US,Texas
131.44.121.130,San Antonio,US,Texas
71.42.245.250,Balcones Heights,US,Texas
167.24.104.150,San Antonio,US,Texas
137.254.7.176,Austin,US,Texas
174.207.7.167,Cleveland,US,Ohio
199.59.33.126,San Antonio,US,Texas
70.94.165.250,San Antonio,US,Texas
137.254.7.169,Austin,US,Texas
172.58.111.172,Dallas,US,Texas
172.58.67.186,Dallas,US,Texas
96.89.11.37,Atlanta,US,Georgia
8.31.0.128,Bala Cynwyd,US,Pennsylvania
98.6.151.46,San Antonio,US,Texas
172.58.111.139,Dallas,US,Texas
107.77.100.84,Houston,US,Texas
107.77.218.40,Houston,US,Texas
107.77.80.20,Houston,US,Texas
107.77.80.57,Houston,US,Texas
84.14.10.91,Paris,FR,Île-de-France
72.181.98.94,San Antonio,US,Texas
148.66.37.91,San Antonio,US,Texas
12.16.232.100,Sterling,US,Virginia
129.112.109.40,Dallas,US,Texas
170.248.173.245,San Antonio,US,Texas
104.131.47.203,Clifton,US,New Jersey
